lat	lon	limit	kind	dir	road	place	enforce
37.373863	127.142188	30	F	3	분당로263번길	한신라이프빌라입구 어린이보호구역(중앙유치원)(서현2동우체국→서현로)	T
37.374104	126.953001	30	F	2	양화로217번길	호원초교 앞 어린이보호구역(천주교호계동성당→호원초교)	T
37.374244	126.933851	30	F	1	곡란로	곡란초교 앞 삼거리	T
37.374388	126.945152	50	F	3	엘에스로	대양충전소 앞 삼거리(의왕IC→명학역)	T
37.374405	126.653568	30	F	3	송도문화로28번길	첨단초교 부근 (송도누리공원 → 송도더샵센트럴시티아파트)	T
37.374414	126.796436	30	F	3	장현순환로	모아미래도 1108동 앞 어린이보호구역(가온초교)(제일풍경채→빛가람유치원)	T
37.374502	127.940021	30	F	3	우산공단길	우산공단사거리→우산공단삼거리	S
37.374518	127.940899	30	F	3	우산공단길	우산공단삼거리→우산공단사거리	T
37.374558	126.932957	30	F	3	곡란로	곡란초교 앞 삼거리 어린이보호구역(산본매화주공14단지→곡란중학교)	T
37.374581	126.842128	30	F	3	목감남서로	도담공원 앞 어린이보호구역(산현초교)(푸르지오→호수품애아파트)	T
37.374601	127.007199	50	F	3	의일로	바라산휴양림삼거리(북청계→백운로사거리)	T
37.374695	127.588232	30	F	3	여양로	대신초교 앞 어린이보호구역(경기관광고등학교→대신체육공원)	S
37.374697	127.230057	30	F	3	태봉로	고산하늘초교사거리 (어린이보호구역)(한아람초교 → 금호교)	T
37.374712	126.654180	30	F	3	송도문화로28번길	첨단초교 부근 (송도더샵센트럴시티아파트 → 송도누리공원)	T
37.374762	127.588039	30	F	3	여양로	대신초교 앞 어린이보호구역(경기관광고등학교→대신체육공원)	T
37.374787	126.954093	30	F	3	경수대로623번길	평촌어바인퍼스트 204동 앞 단일로 어린이보호구역(호원초교→호계동성당)	T
37.374791	127.228874	30	F	3	태성3로	고산하늘초교앞 (어린이보호구역)(상림수목원 → 고산하늘초사거리)	T
37.374807	126.945719	50	F	2	엘에스로	대양충전소 앞 삼거리	T
37.374843	127.588268	30	F	3	여양로	대신초교 앞 어린이보호구역(대신체육공원→경기관광고등학교)	T
37.374950	127.135255	30	F	3	돌마로476번길	서당초교 앞 어린이보호구역(서현역→분당등기소)	S
37.374979	127.227339	30	F	3	태성3로	더샵아파트 후문앞 (어린이보호구역)(고산하늘초 → 상림수목원)	T
37.375017	126.961735	30	F	3	갈산로	덕현초교 앞 어린이보호구역(평촌과학기술고교→신기중학교)	T
37.375089	127.130373	50	F	1	분당로	효자촌사거리(분당구청→분당대진고교)	T
37.375149	126.961477	30	F	3	안양로	덕현초교 앞 어린이보호구역(평촌과학기술고교→신기중학교)(덕현초)	T
37.375161	126.954029	30	F	3	경수대로623번길	호원초교 앞 어린이보호구역(천주교호계동성당→호원초교)	T
37.375163	127.227023	30	F	3	태성로	(어린이보호구역)(고산리마을회관 → 태성초교)	T
37.375240	127.117148	30	F	3	내정로165번길	초림어린이공원 앞 어린이보호구역(초림초교)(수내역→수내동우체국)	T
37.375465	127.519144	60	F	3	이여로	이포중고등학교 정문(문장리 → 이포리)	S
